Scenario,Rank,Wallet,Success_Probability
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",7,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.544000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.530500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",9,(1) OR (2 AND 3 AND 4),0.529500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",10,(1) OR (2 AND 3),0.525000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",11,(1) OR (2 AND 3) OR (2 AND 4),0.516500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",12,(1 AND 2) OR (3 AND 4),0.514500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",13,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.504000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",14,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.501500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",15,(1),0.500000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",16,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.497000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",17,(1 AND 2) OR (1 AND 3),0.465000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",18,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.459500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",19,(1) OR (2),0.450000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",20,(1 AND 2) OR (1 AND 3 AND 4),0.424500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",21,(1) OR (2) OR (3 AND 4),0.423500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",22,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.380000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",23,(1 AND 2),0.350000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",24,(1) OR (2) OR (3),0.335000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",25,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.298500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",26,(1) OR (2) OR (3) OR (4),0.238500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",27,(1 AND 2 AND 3),0.215000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.1000,STOLEN=0.2000",28,(1 AND 2 AND 3 AND 4),0.129500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",1,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.620000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.620000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.619000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.617500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",4,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.617500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",6,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.616500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",6,(1 AND 2) OR (3 AND 4),0.616500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.611000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",8,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.611000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",10,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.600500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",10,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.600500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",12,(1) OR (2 AND 3 AND 4),0.553500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",12,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.553500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",14,(1) OR (2 AND 3),0.545000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",14,(1 AND 2) OR (1 AND 3),0.545000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",16,(1) OR (2 AND 3) OR (2 AND 4),0.532500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",16,(1 AND 2) OR (1 AND 3 AND 4),0.532500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",18,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.516000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",18,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.516000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",20,(1),0.500000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",21,(1) OR (2),0.450000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",21,(1 AND 2),0.450000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",23,(1) OR (2) OR (3 AND 4),0.427500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",23,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.427500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",25,(1) OR (2) OR (3),0.335000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",25,(1 AND 2 AND 3),0.335000
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",27,(1) OR (2) OR (3) OR (4),0.238500
"SAFE=0.5000,LOST=0.2000,LEAKED=0.2000,STOLEN=0.1000",27,(1 AND 2 AND 3 AND 4),0.238500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.681500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",2,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.654000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",3,(1) OR (2 AND 3) OR (2 AND 4) OR (3 AND 4),0.625000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",4,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.623500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",5,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.621500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",6,(1) OR (2 AND 3) OR (2 AND 4),0.606500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.590000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",7,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.590000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",9,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.588000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",10,(1) OR (2 AND 3),0.585000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",11,(1) OR (2 AND 3 AND 4),0.560500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",12,(1) OR (2) OR (3 AND 4),0.559500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",13,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.551500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",14,(1) OR (2),0.550000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",15,(1 AND 2) OR (3 AND 4),0.549500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",16,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.516500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",17,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.510000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",18,(1),0.500000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",19,(1) OR (2) OR (3),0.485000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",20,(1 AND 2) OR (1 AND 3),0.475000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",21,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.465500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",22,(1 AND 2) OR (1 AND 3 AND 4),0.430500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",23,(1) OR (2) OR (3) OR (4),0.401500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",24,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4),0.383000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",25,(1 AND 2),0.350000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",26,(1 AND 2 AND 3) OR (1 AND 2 AND 4),0.299500
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",27,(1 AND 2 AND 3),0.215000
"SAFE=0.5000,LOST=0.3000,LEAKED=0.1000,STOLEN=0.1000",28,(1 AND 2 AND 3 AND 4),0.129500
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",1,(1 AND 2) OR (1 AND 3) OR (2 AND 3),0.684000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",1,(1 AND 2) OR (1 AND 3) OR (1 AND 4) OR (2 AND 3 AND 4),0.684000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4),0.669600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",3,(1 AND 2) OR (1 AND 3) OR (2 AND 3 AND 4),0.669600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",5,(1 AND 2) OR (1 AND 3) OR (2 AND 4),0.657600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",6,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4),0.652800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",6,(1 AND 2) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.652800
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",8,(1 AND 2) OR (3 AND 4),0.643200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",8,(1 AND 2) OR (1 AND 3) OR (2 AND 4) OR (3 AND 4),0.643200
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",10,(1 AND 2) OR (1 AND 3) OR (2 AND 3) OR (1 AND 4) OR (2 AND 4) OR (3 AND 4),0.633600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",10,(1 AND 2 AND 3) OR (1 AND 2 AND 4) OR (1 AND 3 AND 4) OR (2 AND 3 AND 4),0.633600
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",12,(1) OR (2 AND 3 AND 4),0.618000
"SAFE=0.6000,LOST=0.1000,LEAKED=0.1000,STOLEN=0.2000",12,(1 AND 2) OR (1 AND 3) OR (1 AND 4),0.618000
